,id,name,subsystem,reaction,GPR
12,GLNS,Glutamine synthetase,"Alanine, Aspartate, and Glutamate Metabolism",atp[c] + glu__L[c] + nh4[c] --> adp[c] + gln__L[c] + h[c] + pi[c],Rv2220 or Rv2222c or Rv1878 or Rv2860c
13,GLUCYS,Gamma-glutamylcysteine synthetase,"Alanine, Aspartate, and Glutamate Metabolism",atp[c] + cys__L[c] + glu__L[c] --> adp[c] + glucys[c] + h[c] + pi[c],Rv3704c
14,GLUDC,Glutamate Decarboxylase,"Alanine, Aspartate, and Glutamate Metabolism",glu__L[c] + h[c] --> 4abut[c] + co2[c],Rv3432c
15,GLUDxi,Glutamate dehydrogenase  NAD ,"Alanine, Aspartate, and Glutamate Metabolism",glu__L[c] + h2o[c] + nad[c] <=> akg[c] + h[c] + nadh[c] + nh4[c],Rv2476c
16,GLUR,Glutamate racemase,"Alanine, Aspartate, and Glutamate Metabolism",glu__D[c] <=> glu__L[c],Rv1338
17,GLUSy,Glutamate synthase (NADPH),"Alanine, Aspartate, and Glutamate Metabolism",akg[c] + gln__L[c] + h[c] + nadph[c] --> 2.0 glu__L[c] + nadp[c],Rv3859c and Rv3858c
18,GTHOr,Glutathione oxidoreductase,"Alanine, Aspartate, and Glutamate Metabolism",gthox[c] + h[c] + nadph[c] <=> 2.0 gthrd[c] + nadp[c],Rv2855
19,NADS2,Nicotinate-mononucleotide adenylyltransferase,"Alanine, Aspartate, and Glutamate Metabolism",atp[c] + dnad[c] + gln__L[c] + h2o[c] --> amp[c] + glu__L[c] + h[c] + nad[c] + ppi[c],Rv2438c
20,OPAH,5-Oxoproline amidohydrolase (ATP-hydrolysing) (ir),"Alanine, Aspartate, and Glutamate Metabolism",5oxpro[c] + atp[c] + 2.0 h2o[c] <=> adp[c] + glu__L[c] + h[c] + pi[c],Rv0266c
21,P5CD,1-pyrroline-5-carboxylate dehydrogenase,"Alanine, Aspartate, and Glutamate Metabolism",1pyr5c[c] + 2.0 h2o[c] + nad[c] --> glu__L[c] + h[c] + nadh[c],Rv1187
22,SSALx,Succinate-semialdehyde dehydrogenase (NAD),"Alanine, Aspartate, and Glutamate Metabolism",h2o[c] + nad[c] + sucsal[c] --> 2.0 h[c] + nadh[c] + succ[c],Rv0234c and Rv1731
23,SSALy,Succinate-semialdehyde dehydrogenase (NADP),"Alanine, Aspartate, and Glutamate Metabolism",h2o[c] + nadp[c] + sucsal[c] --> 2.0 h[c] + nadph[c] + succ[c],Rv0234c or Rv1731
24,HOAS,R_HOAS,"Alanine, Aspartate, and Glutamate Metabolism",akg[c] + glx[c] + 3.0 h[c] --> co2[c] + hoa[c],Rv1248c
25,SR1,R_SR1,"Alanine, Aspartate, and Glutamate Metabolism",hoa[c] --> co2[c] + hla[c],
26,ASPO6,L-aspartate oxidase,"Alanine, Aspartate, and Glutamate Metabolism",asp__L[c] + o2[c] --> h2o2[c] + h[c] + iasp[c],Rv1595
27,ACS2,Acetyl-CoA synthase (propionate),Alternate Carbon Metabolism,atp[c] + coa[c] + ppa[c] --> amp[c] + ppcoa[c] + ppi[c],Rv3667
28,AGDC,N-acetylglucosamine-6-phosphate deacetylase,Alternate Carbon Metabolism,acgam6p[c] + h2o[c] --> ac[c] + gam6p[c],Rv3332
29,DGC3D,DGC3D,Alternate Carbon Metabolism,2dglcn[c] + nad[c] --> 3ddgc[c] + h[c] + nadh[c],Rv1928c or Rv1714
30,G1PACT,Glucosamine-1-phosphate N-acetyltransferase,Alternate Carbon Metabolism,accoa[c] + gam1p[c] --> acgam1p[c] + coa[c] + h[c],
31,GALKr,Galactokinase,Alternate Carbon Metabolism,atp[c] + gal[c] <=> adp[c] + gal1p[c] + h[c],Rv0620
32,GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),Alternate Carbon Metabolism,g1p[c] + h[c] + utp[c] --> ppi[c] + udpg[c],Rv0993
33,GLGC,Glucose-1-phosphate adenylyltransferase,Alternate Carbon Metabolism,atp[c] + g1p[c] + h[c] --> adpglc[c] + ppi[c],Rv1213
34,GLYK,Glycerol kinase,Alternate Carbon Metabolism,atp[c] + glyc[c] --> adp[c] + glyc3p[c] + h[c],Rv3696c
35,LACZ,B-galactosidase,Alternate Carbon Metabolism,h2o[c] + lcts[c] --> gal[c] + glc__D[c],
36,MALT,Alpha glucosidase,Alternate Carbon Metabolism,h2o[c] + malt[c] --> 2.0 glc__D[c],Rv2471
37,MMSAD1,Methylmalonate semialdehyde dehydrogenase,Alternate Carbon Metabolism,2mop[c] + coa[c] + nad[c] --> co2[c] + nadh[c] + ppcoa[c],Rv0753c
38,MN6PP,Mannose 6-phosphate phosphatase,Alternate Carbon Metabolism,h2o[c] + man6p[c] --> man[c] + pi[c],
39,MTI,Maltose trehalose isomerase,Alternate Carbon Metabolism,tre[c] <=> malt[c],Rv0126
40,THZPSN,Thiazole phosphate synthesis,Alternate Carbon Metabolism,atp[c] + cys__L[c] + dxyl5p[c] + tyr__L[c] --> 4hba[c] + 4mpetz[c] + ala__L[c] + amp[c] + co2[c] + h2o[c] + h[c] + ppi[c],Rv0417
41,UAGCVT,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,Alternate Carbon Metabolism,pep[c] + uacgam[c] --> pi[c] + uaccg[c],Rv1315
42,UAGDP,UDP-N-acetylglucosamine diphosphorylase,Alternate Carbon Metabolism,acgam1p[c] + h[c] + utp[c] --> ppi[c] + uacgam[c],Rv1018c
43,UAPGR,UDP-N-acetylenolpyruvoylglucosamine reductase,Alternate Carbon Metabolism,h[c] + nadph[c] + uaccg[c] --> nadp[c] + uamr[c],Rv0482
44,XYLK,Xylulokinase,Alternate Carbon Metabolism,atp[c] + xylu__D[c] --> adp[c] + h[c] + xu5p__D[c],Rv0729
45,TREP,R_TREP,Alternate Carbon Metabolism,pi[c] + tre[c] --> g1p[c] + glc__D[c],Rv3401
46,HIBD,3 hydroxyisobutyrate dehydrogenase,Alternate Carbon Metabolism,3hmp[c] + nad[c] --> 2mop[c] + h[c] + nadh[c],Rv0751c
47,MANPGH,2-O-alpha-mannosyl-6-phosphate-D-glycerate hydrolase,Alternate Carbon Metabolism,h2o[c] + man6pglyc[c] --> glyc__R[c] + man6p[c],Rv0648
48,ACGAMPM,Phosphoacetylglucosamine mutase,Arabinogalactan biosynthesis,acgam6p[c] <=> acgam1p[c],Rv3441c
49,ACGAMT,UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase,Arabinogalactan biosynthesis,uacgam[c] + udcpp[c] --> ump[c] + unaga[c],Rv1302
50,AFTA,Arabinofuranosyl transferase (M tb),Arabinogalactan biosynthesis,decda_tb[c] + galfragund[c] --> agalfragund[c] + decd_tb[c],Rv3792
51,ALAALAr,D-alanine-D-alanine ligase (reversible),Arabinogalactan biosynthesis,2.0 ala__D[c] + atp[c] <=> adp[c] + alaala[c] + h[c] + pi[c],Rv2981c
52,ALAR,Alanine racemase,Arabinogalactan biosynthesis,ala__L[c] <=> ala__D[c],Rv3423c
53,DCPDPP,DCPDPP,Arabinogalactan biosynthesis,decdpr_tb[c] + h2o[c] --> decdr_tb[c] + pi[c],Rv3807c
54,DCPE,"Decaprenylphosphoryl  ribose, arabinofuranose isomerization",Arabinogalactan biosynthesis,decdr_tb[c] <=> decda_tb[c],Rv3790 and Rv3791
55,DCPT,Phosphoribose transferase (undecaprenyl phosphate),Arabinogalactan biosynthesis,decd_tb[c] + prpp[c] --> decdpr_tb[c] + ppi[c],Rv3806c
56,G1PTT,Glucose-1-phosphate thymidylyltransferase,Arabinogalactan biosynthesis,dttp[c] + g1p[c] + h[c] --> dtdpglu[c] + ppi[c],Rv0334
57,GALFT,Galactofuranose transferse (M tb),Arabinogalactan biosynthesis,h2o[c] + ragund[c] + 30.0 udpgalfur[c] --> galfragund[c] + 30.0 h[c] + 30.0 udp[c],Rv3808c and Rv3782
58,O16RHAT,Rhamnosyltransferase (LPS O16 antigen biosynthesis),Arabinogalactan biosynthesis,dtdprmn[c] + unaga[c] --> dtdp[c] + h[c] + ragund[c],Rv3265c and Rv1525
59,TDPDRE,"DTDP-4-dehydrorhamnose 3,5-epimerase",Arabinogalactan biosynthesis,dtdp4d6dg[c] --> dtdp4d6dm[c],Rv3465
60,TDPDRR,DTDP-4-dehydrorhamnose reductase,Arabinogalactan biosynthesis,dtdp4d6dm[c] + h[c] + nadph[c] --> dtdprmn[c] + nadp[c],Rv3266c
61,TDPGDH,"DTDPglucose 4,6-dehydratase",Arabinogalactan biosynthesis,dtdpglu[c] --> dtdp4d6dg[c] + h2o[c],Rv3464 and (Rv3468c or Rv3784)
62,UDPGALM,UDPgalactopyranose mutase,Arabinogalactan biosynthesis,udpgal[c] --> udpgalfur[c],Rv3809c
63,ALDR,R_ALDR,Arabinogalactan biosynthesis,arab__D[c] + h[c] + nadph[c] --> arabl__D[c] + nadp[c],
64,AL4D,R_AL4D,Arabinogalactan biosynthesis,arabl__D[c] + nad[c] --> h[c] + nadh[c] + xylu__D[c],Rv1928c
65,MANT1,R_MANT1,Arabinogalactan biosynthesis,PIM4[c] + decdman1p_tb[c] --> LM[c] + decd_tb[c],Rv1635c and Rv2174 and Rv2181
66,EMB,EMB,Arabinogalactan biosynthesis,agalfragund[c] + 70.0 decda_tb[c] <=> arabinanagalfragund[c] + 70.0 decd_tb[c],Rv3794 and Rv3795 and Rv3793 and Rv2673 and Rv3805c
67,ARABT,R_ARABT,Arabinogalactan bioynthesis,LM[c] + decda_tb[c] --> LAM[c] + decd_tb[c],Rv1635c and Rv2181 and Rv3793
68,ACGK,Acetylglutamate kinase,Arginine and Proline Metabolism,acglu[c] + atp[c] --> acg5p[c] + adp[c],Rv1654
69,ACOTA,Acetylornithine transaminase,Arginine and Proline Metabolism,acorn[c] + akg[c] <=> acg5sa[c] + glu__L[c],Rv1655
70,AGPR,N-acetyl-g-glutamyl-phosphate reductase,Arginine and Proline Metabolism,acg5sa[c] + nadp[c] + pi[c] <=> acg5p[c] + h[c] + nadph[c],Rv1652
71,ARGDr,Arginine deiminase,Arginine and Proline Metabolism,arg__L[c] + h2o[c] --> citr__L[c] + nh4[c],Rv1001
72,AST,Arginine succinyltransferase,Arginine and Proline Metabolism,arg__L[c] + succoa[c] --> coa[c] + h[c] + sucarg[c],
73,G5SADs,L-glutamate 5-semialdehyde dehydratase (spontaneous),Arginine and Proline Metabolism,glu5sa[c] --> 1pyr5c[c] + h2o[c] + h[c],
74,OCBT,Ornithine carbamoyltransferase,Arginine and Proline Metabolism,cbp[c] + orn[c] <=> citr__L[c] + h[c] + pi[c],Rv1656
75,ORNTA,Ornithine transaminase,Arginine and Proline Metabolism,akg[c] + orn[c] --> glu5sa[c] + glu__L[c],Rv2321c or Rv2322c
76,ORNTAC,Ornithine transacetylase,Arginine and Proline Metabolism,acorn[c] + glu__L[c] <=> acglu[c] + orn[c],Rv1653
77,P5CR,Pyrroline-5-carboxylate reductase,Arginine and Proline Metabolism,1pyr5c[c] + 2.0 h[c] + nadph[c] --> nadp[c] + pro__L[c],Rv0500
78,P5CRx,Pyrroline-5-carboxylate reductase(nadh),Arginine and Proline Metabolism,1pyr5c[c] + 2.0 h[c] + nadh[c] --> nad[c] + pro__L[c],Rv0500
79,PROD2,Proline dehydrogenase,Arginine and Proline Metabolism,fad[c] + pro__L[c] --> 1pyr5c[c] + fadh2[c] + h[c],Rv1188
80,SADH,Succinylarginine dihydrolase,Arginine and Proline Metabolism,2.0 h2o[c] + 2.0 h[c] + sucarg[c] --> co2[c] + 2.0 nh4[c] + sucorn[c],
81,SGDS,Succinylglutamate desuccinylase,Arginine and Proline Metabolism,h2o[c] + sucglu[c] --> glu__L[c] + succ[c],
82,SGSAD,Succinylglutamic semialdehyde dehydrogenase,Arginine and Proline Metabolism,h2o[c] + nad[c] + sucgsa[c] --> 2.0 h[c] + nadh[c] + sucglu[c],
83,SOTA,Succinylornithine transaminase,Arginine and Proline Metabolism,akg[c] + sucorn[c] --> glu__L[c] + sucgsa[c],
84,FAD_14,R_FAD_14,Beta oxidation of unsaturated fatty acids,coa[c] + fad[c] + nad[c] + odecoa[c] --> accoa[c] + fadh2[c] + hdcoa[c] + nadh[c],((Rv0131c or Rv0154c or Rv0215c or Rv0231 or Rv0244c or Rv0271c or Rv0400c or Rv0752c or Rv0873 or Rv0972c or Rv0975c or Rv1346 or Rv1467c or Rv1679 or Rv1933c or Rv1934c or Rv2724c or Rv2789c or Rv3061c or Rv3139 or Rv3140 or Rv3274c or Rv3504 or Rv3505 or Rv3543c or Rv3544c or Rv3560c or Rv3562 or Rv3563 or Rv3564 or Rv3573c or Rv3761c or Rv3797 or Rv0672 or Rv2500c) and (Rv0222 or Rv0456c or Rv0632c or Rv0673 or Rv0675 or Rv0971c or Rv1070c or Rv1071c or Rv1141c or Rv1142c or Rv1472 or Rv1935c or Rv2486 or Rv2679 or Rv2831 or Rv3039c or Rv3516 or Rv3550 or Rv3774 or Rv0905 or Rv3374 or Rv3373) and (Rv0468 or Rv1715 or Rv1912c or Rv3141) and (Rv0243 or Rv1074c or Rv3546 or Rv3556c or Rv1323 or Rv0859))
85,FAD_15,R_FAD_15,Beta oxidation of unsaturated fatty acids,coa[c] + fad[c] + hdcoa[c] + nad[c] --> accoa[c] + c5tetdcoa[c] + fadh2[c] + nadh[c],((Rv0131c or Rv0154c or Rv0215c or Rv0231 or Rv0244c or Rv0271c or Rv0400c or Rv0752c or Rv0873 or Rv0972c or Rv0975c or Rv1346 or Rv1467c or Rv1679 or Rv1933c or Rv1934c or Rv2724c or Rv2789c or Rv3061c or Rv3139 or Rv3140 or Rv3274c or Rv3504 or Rv3505 or Rv3543c or Rv3544c or Rv3560c or Rv3562 or Rv3563 or Rv3564 or Rv3573c or Rv3761c or Rv3797 or Rv0672 or Rv2500c) and (Rv0222 or Rv0456c or Rv0632c or Rv0673 or Rv0675 or Rv0971c or Rv1070c or Rv1071c or Rv1141c or Rv1142c or Rv1472 or Rv1935c or Rv2486 or Rv2679 or Rv2831 or Rv3039c or Rv3516 or Rv3550 or Rv3774 or Rv0905 or Rv3374 or Rv3373) and (Rv0468 or Rv1715 or Rv1912c or Rv3141) and (Rv0243 or Rv1074c or Rv3546 or Rv3556c or Rv1323 or Rv0859))
86,FAD_16,R_FAD_16,Beta oxidation of unsaturated fatty acids,c5tetdcoa[c] + coa[c] + fad[c] + nad[c] --> accoa[c] + c3dodcoa[c] + fadh2[c] + nadh[c],((Rv0131c or Rv0154c or Rv0215c or Rv0231 or Rv0244c or Rv0271c or Rv0400c or Rv0752c or Rv0873 or Rv0972c or Rv0975c or Rv1346 or Rv1467c or Rv1679 or Rv1933c or Rv1934c or Rv2724c or Rv2789c or Rv3061c or Rv3139 or Rv3140 or Rv3274c or Rv3504 or Rv3505 or Rv3543c or Rv3544c or Rv3560c or Rv3562 or Rv3563 or Rv3564 or Rv3573c or Rv3761c or Rv3797 or Rv0672 or Rv2500c) and (Rv0222 or Rv0456c or Rv0632c or Rv0673 or Rv0675 or Rv0971c or Rv1070c or Rv1071c or Rv1141c or Rv1142c or Rv1472 or Rv1935c or Rv2486 or Rv2679 or Rv2831 or Rv3039c or Rv3516 or Rv3550 or Rv3774 or Rv0905 or Rv3374 or Rv3373) and (Rv0468 or Rv1715 or Rv1912c or Rv3141) and (Rv0243 or Rv1074c or Rv3546 or Rv3556c or Rv1323 or Rv0859))
87,FAD_17,R_FAD_17,Beta oxidation of unsaturated fatty acids,c3dodcoa[c] + h2o[c] --> h[c] + t2dodcoa[c],((Rv0131c or Rv0154c or Rv0215c or Rv0231 or Rv0244c or Rv0271c or Rv0400c or Rv0752c or Rv0873 or Rv0972c or Rv0975c or Rv1346 or Rv1467c or Rv1679 or Rv1933c or Rv1934c or Rv2724c or Rv2789c or Rv3061c or Rv3139 or Rv3140 or Rv3274c or Rv3504 or Rv3505 or Rv3543c or Rv3544c or Rv3560c or Rv3562 or Rv3563 or Rv3564 or Rv3573c or Rv3761c or Rv3797 or Rv0672 or Rv2500c) and (Rv0222 or Rv0456c or Rv0632c or Rv0673 or Rv0675 or Rv0971c or Rv1070c or Rv1071c or Rv1141c or Rv1142c or Rv1472 or Rv1935c or Rv2486 or Rv2679 or Rv2831 or Rv3039c or Rv3516 or Rv3550 or Rv3774 or Rv0905 or Rv3374 or Rv3373) and (Rv0468 or Rv1715 or Rv1912c or Rv3141) and (Rv0243 or Rv1074c or Rv3546 or Rv3556c or Rv1323 or Rv0859))
88,FAD_18,R_FAD_18,Beta oxidation of unsaturated fatty acids,3.0 h2o[c] + t2dodcoa[c] --> d2hdodcoa[c],((Rv0131c or Rv0154c or Rv0215c or Rv0231 or Rv0244c or Rv0271c or Rv0400c or Rv0752c or Rv0873 or Rv0972c or Rv0975c or Rv1346 or Rv1467c or Rv1679 or Rv1933c or Rv1934c or Rv2724c or Rv2789c or Rv3061c or Rv3139 or Rv3140 or Rv3274c or Rv3504 or Rv3505 or Rv3543c or Rv3544c or Rv3560c or Rv3562 or Rv3563 or Rv3564 or Rv3573c or Rv3761c or Rv3797 or Rv0672 or Rv2500c) and (Rv0222 or Rv0456c or Rv0632c or Rv0673 or Rv0675 or Rv0971c or Rv1070c or Rv1071c or Rv1141c or Rv1142c or Rv1472 or Rv1935c or Rv2486 or Rv2679 or Rv2831 or Rv3039c or Rv3516 or Rv3550 or Rv3774 or Rv0905 or Rv3374 or Rv3373) and (Rv0468 or Rv1715 or Rv1912c or Rv3141) and (Rv0243 or Rv1074c or Rv3546 or Rv3556c or Rv1323 or Rv0859))
89,FAD_19,R_FAD_19,Beta oxidation of unsaturated fatty acids,d2hdodcoa[c] + nad[c] --> dodcoa[c] + nadh[c],((Rv0131c or Rv0154c or Rv0215c or Rv0231 or Rv0244c or Rv0271c or Rv0400c or Rv0752c or Rv0873 or Rv0972c or Rv0975c or Rv1346 or Rv1467c or Rv1679 or Rv1933c or Rv1934c or Rv2724c or Rv2789c or Rv3061c or Rv3139 or Rv3140 or Rv3274c or Rv3504 or Rv3505 or Rv3543c or Rv3544c or Rv3560c or Rv3562 or Rv3563 or Rv3564 or Rv3573c or Rv3761c or Rv3797 or Rv0672 or Rv2500c) and (Rv0222 or Rv0456c or Rv0632c or Rv0673 or Rv0675 or Rv0971c or Rv1070c or Rv1071c or Rv1141c or Rv1142c or Rv1472 or Rv1935c or Rv2486 or Rv2679 or Rv2831 or Rv3039c or Rv3516 or Rv3550 or Rv3774 or Rv0905 or Rv3374 or Rv3373) and (Rv0468 or Rv1715 or Rv1912c or Rv3141) and (Rv0243 or Rv1074c or Rv3546 or Rv3556c or Rv1323 or Rv0859))
90,COCO2,MNXR26399,Carbon metabolism,co[c] + 2.0 fdxox[c] + h2o[c] <=> co2[c] + 2.0 fdxrd[c] + 2.0 h[c],Rv0373c and Rv0374c and Rv0375c
91,ACONT,Aconitate hydratase,Citric Acid Cycle,cit[c] <=> icit[c],Rv1475c
92,AKGDb,Oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase),Citric Acid Cycle,coa[c] + sdhlam[c] --> dhlam[c] + succoa[c],Rv2215
93,CITL,Citrate lyase,Citric Acid Cycle,cit[c] --> ac[c] + oaa[c],Rv2498c or Rv3075c
94,CS,Citrate synthase,Citric Acid Cycle,accoa[c] + h2o[c] + oaa[c] --> cit[c] + coa[c] + h[c],Rv0896 or Rv0889c
95,FRD,FRD,Citric Acid Cycle,fadh2[c] + fum[c] --> fad[c] + succ[c],(Rv3318 and Rv3319 and Rv3316 and Rv3317) or (Rv1552 and Rv1553 and Rv1554 and Rv1555)
96,FRD2,Fumarate reductase,Citric Acid Cycle,fum[c] + mql8[c] --> mqn8[c] + succ[c],(Rv3316 and Rv3317 and Rv3318 and Rv3319) or (Rv0247c and Rv3316 and Rv3317 and Rv3318) or (Rv0248c and Rv3316 and Rv3317 and Rv3318)
97,FRD3,Fumarate reductase,Citric Acid Cycle,2dmmql8[c] + fum[c] --> 2dmmq8[c] + succ[c],(Rv3316 and Rv3317 and Rv3318 and Rv3319) or (Rv0247c and Rv3316 and Rv3317 and Rv3318) or (Rv0248c and Rv3316 and Rv3317 and Rv3318)
98,FUM,Fumarase,Citric Acid Cycle,fum[c] + h2o[c] <=> mal__L[c],Rv1098c
99,GCCc,Glycine-cleavage complex,Citric Acid Cycle,dhlpro[c] + nad[c] --> h[c] + lpro[c] + nadh[c],Rv3303c
100,ICDHyr,Isocitrate dehydrogenase (NADP),Citric Acid Cycle,icit[c] + nadp[c] --> akg[c] + co2[c] + nadph[c],Rv3339c or Rv0066c
101,MDH,Malate dehydrogenase,Citric Acid Cycle,mal__L[c] + nad[c] <=> h[c] + nadh[c] + oaa[c],Rv1240
102,OXGDC,2 oxoglutarate decarboxylase,Citric Acid Cycle,akg[c] + h[c] --> co2[c] + sucsal[c],Rv1248c or Rv0555
103,PC,Pyruvate carboxylase,Citric Acid Cycle,atp[c] + hco3[c] + pyr[c] --> adp[c] + h[c] + oaa[c] + pi[c],Rv2967c
104,PDHcr,Pyruvate dehydrogenase (dihydrolipoamide dehydrogenase) reversible,Citric Acid Cycle,dhlam[c] + nad[c] --> h[c] + lpam[c] + nadh[c],Rv0462 or Rv0843
105,PEPCK_re,Phosphoenolpyruvate carboxykinase (GTP),Citric Acid Cycle,gtp[c] + oaa[c] <=> co2[c] + gdp[c] + pep[c],Rv0211
106,SUCD1,Succinate dehydrogenase,Citric Acid Cycle,fad[c] + succ[c] --> fadh2[c] + fum[c],(Rv3318 and Rv3319 and Rv3316 and Rv3317) or (Rv0247c and Rv0248c and Rv0249c) or (Rv1552 and Rv1553 and Rv1554 and Rv1555)
107,SUCOAS,Succinyl-CoA synthetase (ADP-forming),Citric Acid Cycle,atp[c] + coa[c] + succ[c] <=> adp[c] + pi[c] + succoa[c],Rv0952 and Rv0951
108,KGD2,MNXR84838,Citric Acid Cycle,co2[c] + 2.0 fdxrd[c] + h[c] + succoa[c] <=> akg[c] + coa[c] + 2.0 fdxox[c],Rv1248c or (Rv2454c and Rv2455c)
109,AKGDa,Oxoglutarate dehydrogenase (lipoamide),Citric Acid Cycle,akg[c] + h[c] + lpam[c] <=> co2[c] + sdhlam[c],Rv1248c
110,AKGDH,2-Oxogluterate dehydrogenase,Citric Acid Cycle,akg[c] + coa[c] + nad[c] --> co2[c] + nadh[c] + succoa[c],
111,MHUD1,Heme Degredation MhuD,Cofacto,h2o[c] + o2[c] + pheme[c] --> fe2[c] + mycobilin[c],Rv3592
112,ACBIPGT,Adenosyl cobinamide phosphate guanyltransferase,Cofactor and Prosthetic Group Biosynthesis,adocbip[c] + gtp[c] + h[c] --> agdpcbi[c] + ppi[c],Rv0254c
113,ADCPS1,Adenosylcobinamide-phosphate synthase,Cofactor and Prosthetic Group Biosynthesis,adcobhex[c] + appl[c] + atp[c] --> adocbi[c] + adp[c] + h[c] + pi[c],Rv2236c
114,ADCPS2,Adenosylcobinamide-phosphate synthase,Cofactor and Prosthetic Group Biosynthesis,adcobhex[c] + applp[c] + atp[c] --> adocbip[c] + adp[c] + h[c] + pi[c],Rv0254c or Rv2236c
115,ADCYRS,Adenosylcobyric acid synthase (glutamine-hydrolysing),Cofactor and Prosthetic Group Biosynthesis,adcobdam[c] + 4.0 atp[c] + 4.0 gln__L[c] + 4.0 h2o[c] --> adcobhex[c] + 4.0 adp[c] + 4.0 glu__L[c] + 4.0 h[c] + 4.0 pi[c],Rv0255c
116,ADOCBIK,Adenosyl cobinamide kinase,Cofactor and Prosthetic Group Biosynthesis,adocbi[c] + atp[c] --> adocbip[c] + adp[c] + h[c],Rv0254c
117,ADOCBLS,Adenosylcobalamin 5'-phosphate synthase,Cofactor and Prosthetic Group Biosynthesis,agdpcbi[c] + rdmbzi[c] --> adocbl[c] + gmp[c] + h[c],Rv2208
118,AHMMPS,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,Cofactor and Prosthetic Group Biosynthesis,air[c] + 2.0 h[c] --> 4ahmmp[c] + gcald[c] + pi[c],Rv0423c
119,AMAOTr,Adenosylmethionine-8-amino-7-oxononanoate transaminase,Cofactor and Prosthetic Group Biosynthesis,8aonn[c] + amet[c] <=> amob[c] + dann[c],Rv1568
120,AMMQT8,S-adenosylmethione:2-demthylmenaquinone methyltransferase (menaquinone 8),Cofactor and Prosthetic Group Biosynthesis,2dmmq8[c] + amet[c] + h[c] --> ahcys[c] + mql8[c],
121,AOXSr,8-amino-7-oxononanoate synthase,Cofactor and Prosthetic Group Biosynthesis,ala__L[c] + h[c] + pmcoa[c] <=> 8aonn[c] + co2[c] + coa[c],Rv1569 and Rv0032
122,BACCL,Biotin acetyl CoA carboxylase ligase,Cofactor and Prosthetic Group Biosynthesis,atp[c] + btn[c] + h[c] --> btamp[c] + ppi[c],Rv3279c
123,BTS2,Biotin synthase (ala-L producing),Cofactor and Prosthetic Group Biosynthesis,cys__L[c] + dtbt[c] <=> ala__L[c] + btn[c] + 2.0 h[c],Rv1589
124,BTS3r,Biotin synthase,Cofactor and Prosthetic Group Biosynthesis,dtbt[c] + 2.0 s[c] <=> btn[c] + h2s[c],Rv1589
125,CBIAT,Cobinamide adenyltransferase,Cofactor and Prosthetic Group Biosynthesis,atp[c] + cbi[c] + h[c] <=> adocbi[c] + pppi[c],Rv2849c
126,CBLAT,Cob(I)alamin adenosyltransferase,Cofactor and Prosthetic Group Biosynthesis,atp[c] + cbl1[c] + h[c] <=> adocbl[c] + pppi[c],
127,COCHL,Cobaltochelatase,Cofactor and Prosthetic Group Biosynthesis,atp[c] + cobalt2[c] + h2o[c] + hgbam[c] --> adp[c] + co2dam[c] + 2.0 h[c] + pi[c],Rv2062c
